epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8182,1.68259,4.03893,1.65845,0.01589,0.13792,0.05381,0.03227,1.56654,3.99888,1.59162,0.00012006,0.00012006,0.00012006
2,64.2405,1.71167,3.33571,1.61059,0.02259,0.25042,0.11689,0.05736,1.62175,3.59515,1.57047,0.000245976,0.000245976,0.000245976
3,92.563,1.66419,2.61195,1.60017,0.85318,0.07214,0.17812,0.08375,1.75103,2.99705,1.75066,0.000371055,0.000371055,0.000371055
4,120.923,1.64069,2.35099,1.60672,0.59188,0.16519,0.19557,0.08938,1.78823,2.56693,1.75211,0.000495298,0.000495298,0.000495298
5,149.219,1.62006,2.14877,1.56357,0.55052,0.20142,0.20406,0.09525,1.77508,2.40373,1.75968,0.000618704,0.000618704,0.000618704
6,178.079,1.61418,2.02001,1.56187,0.57679,0.28874,0.24497,0.1155,1.74535,2.06755,1.79428,0.000655994,0.000655994,0.000655994
7,207.328,1.55677,1.97207,1.54434,0.5819,0.29359,0.25477,0.12081,1.78653,2.09027,1.80836,0.000653793,0.000653793,0.000653793
8,236.392,1.5826,1.97707,1.58033,0.50022,0.29197,0.26218,0.11863,1.83064,2.09734,1.83686,0.000651592,0.000651592,0.000651592
9,265.577,1.54102,1.96256,1.5779,0.50835,0.3249,0.29696,0.14109,1.73209,1.88387,1.76157,0.000649391,0.000649391,0.000649391
10,294.269,1.54056,1.78151,1.52991,0.42573,0.28383,0.27384,0.1239,1.79963,2.0383,1.79997,0.00064719,0.00064719,0.00064719
11,322.327,1.50756,1.75838,1.53342,0.63204,0.30352,0.30177,0.13889,1.72171,1.96084,1.74883,0.000644989,0.000644989,0.000644989
12,350.703,1.52816,1.73734,1.50302,0.45808,0.28257,0.2857,0.13755,1.75874,1.96572,1.7612,0.000642788,0.000642788,0.000642788
13,378.455,1.53302,1.73071,1.51846,0.42677,0.30764,0.29377,0.13828,1.75953,1.93709,1.79886,0.000640587,0.000640587,0.000640587
14,406.007,1.47516,1.68474,1.50529,0.47927,0.33039,0.31755,0.15337,1.71341,1.85476,1.72536,0.000638386,0.000638386,0.000638386
15,433.995,1.45846,1.675,1.4942,0.65608,0.31419,0.32008,0.15238,1.74274,1.81129,1.71583,0.000636185,0.000636185,0.000636185
16,461.636,1.45414,1.61906,1.46811,0.35544,0.32964,0.30271,0.14504,1.68897,1.92734,1.70388,0.000633983,0.000633983,0.000633983
17,489.344,1.46863,1.55405,1.48315,0.45827,0.30156,0.29292,0.13736,1.7812,2.10661,1.79587,0.000631782,0.000631782,0.000631782
18,516.762,1.42033,1.51456,1.41167,0.58401,0.31584,0.33788,0.15884,1.73613,1.88386,1.7526,0.000629581,0.000629581,0.000629581
19,544.608,1.39348,1.50973,1.4516,0.53251,0.36018,0.36688,0.17779,1.69544,1.72655,1.73102,0.00062738,0.00062738,0.00062738
20,572.555,1.40851,1.47081,1.43085,0.52117,0.3673,0.36864,0.17799,1.69469,1.70324,1.70766,0.000625179,0.000625179,0.000625179
21,600.565,1.39184,1.41766,1.41174,0.42796,0.36128,0.35772,0.16685,1.73191,1.69369,1.71766,0.000622978,0.000622978,0.000622978
